Appid, Linux
591150, True
20920, True
268500, True
349270, True
343860, True
567990, True
734900, True
730616, True
872680, True
861540, True
422473, True
1066780, True
1046630, True
1028440, True
1000719, True
1000713, True
1000712, True
1184351, True
1180450, True
1155410, True
1148400, True
1127190, True
489630, True
972660, True
1188080, True
1181900, True
1020100, True
410340, True
646570, True
351510, True
628770, True
305620, True
967460, True
287860, True
456000, True
633460, True
386940, True
390910, True
252950, True
630720, True
637090, True
1187590, True
366090, True
846030, True
949730, True
433340, True
955180, True
427520, True
1173740, True
659570, True
962150, True
1084020, True
610180, True
269950, True
304930, True
431240, True
457140, True
620350, True
227300, True
663390, True
978680, True
531510, True
464610, True
898920, True
882680, True
236370, True
362890, True
994500, True
892970, True
1172670, True
976030, True
1151080, True
1114870, True
706850, True
300380, True
1080240, True
636480, True
1171160, True
814370, True
704450, True
466560, True
246620, True
1154290, True
763890, True
537340, True
767660, True
392160, True
656350, True
582500, True
239140, True
290340, True
1166840, True
391220, True
344240, True
317360, True
294750, True
286340, True
282070, True
250760, True
248310, True
238370, True
48700, True
211820, True
209540, True
203770, True
1175430, True
400750, True
1186620, True
1042780, True
358130, True
603530, True
108600, True
582890, True
598330, True
832140, True
824620, True
235620, True
1076880, True
856990, True
698640, True
365670, True
867290, True
1100250, True
633981, True
242860, True
677120, True
1129660, True
1068420, True
493900, True
566710, True
673340, True
342610, True
862690, True
779340, True
616830, True
701160, True
212070, True
261640, True
270880, True
607080, True
762650, True
953060, True
1017570, True
1127590, True
968300, True
994340, True
492720, True
219740, True
922710, True
668590, True
289950, True
257510, True
242820, True
234270, True
551110, True
411570, True
1016770, True
859580, True
1198450, True
1076040, True
1046440, True
1163770, True
1155100, True
35720, True
10500, True
596970, True
1148500, True
640820, True
738270, True
1013320, True
322330, True
1122120, True
108200, True
49520, True
504050, True
379210, True
999190, True
353540, True
946990, True
380600, True
326160, True
588650, True
895480, True
513510, True
1000490, True
1100410, True
960690, True
1159030, True
285920, True
871930, True
774091, True
594570, True
598430, True
1005300, True
1204270, True
1097960, True
578900, True
550, True
1147670, True
951940, True
1155670, True
1017470, True
348910, True
301520, True
241600, True
232430, True
1091980, True
333640, True
650570, True
952420, True
337320, True
1012610, True
744980, True
1205750, True
1045720, True
666590, True
550320, True
451600, True
